ds,geo,metric,value
1995-01-01,Algeria,CPI_Index,51.936225
1995-01-01,Algeria,CPI_Index,48.6916
1995-02-01,Algeria,CPI_Index,48.7824
1995-03-01,Algeria,CPI_Index,49.3368
1995-04-01,Algeria,CPI_Index,49.4593
1995-05-01,Algeria,CPI_Index,51.3291
1995-06-01,Algeria,CPI_Index,51.9348
1995-07-01,Algeria,CPI_Index,51.3449
1995-08-01,Algeria,CPI_Index,53.2305
1995-09-01,Algeria,CPI_Index,54.2444
1995-10-01,Algeria,CPI_Index,54.1917
1995-11-01,Algeria,CPI_Index,55.0358
1995-12-01,Algeria,CPI_Index,55.6534
1996-01-01,Algeria,CPI_Index,61.640833
1996-01-01,Algeria,CPI_Index,18.685625
1996-01-01,Algeria,CPI_Index,19.48447
1996-01-01,Algeria,CPI_Index,58.1789
1996-02-01,Algeria,CPI_Index,21.402596
1996-02-01,Algeria,CPI_Index,59.2231
1996-03-01,Algeria,CPI_Index,21.623818
1996-03-01,Algeria,CPI_Index,60.0053
1996-04-01,Algeria,CPI_Index,21.575518
1996-04-01,Algeria,CPI_Index,60.1304
1996-05-01,Algeria,CPI_Index,22.128773
1996-05-01,Algeria,CPI_Index,62.6876
1996-06-01,Algeria,CPI_Index,21.300169
1996-06-01,Algeria,CPI_Index,62.997
1996-07-01,Algeria,CPI_Index,19.329086
1996-07-01,Algeria,CPI_Index,61.2694
1996-08-01,Algeria,CPI_Index,16.576399
1996-08-01,Algeria,CPI_Index,62.0542
1996-09-01,Algeria,CPI_Index,15.251897
1996-09-01,Algeria,CPI_Index,62.5177
1996-10-01,Algeria,CPI_Index,16.498652
1996-10-01,Algeria,CPI_Index,63.1326
1996-11-01,Algeria,CPI_Index,15.283688
1996-11-01,Algeria,CPI_Index,63.4473
1996-12-01,Algeria,CPI_Index,15.081019
1996-12-01,Algeria,CPI_Index,64.0465
1997-01-01,Algeria,CPI_Index,65.171542
1997-01-01,Algeria,CPI_Index,5.727872
1997-01-01,Algeria,CPI_Index,13.534632
1997-01-01,Algeria,CPI_Index,66.0532
1997-02-01,Algeria,CPI_Index,9.82522
1997-02-01,Algeria,CPI_Index,65.0419
1997-03-01,Algeria,CPI_Index,7.371016
1997-03-01,Algeria,CPI_Index,64.4283
1997-04-01,Algeria,CPI_Index,6.865246
1997-04-01,Algeria,CPI_Index,64.2585
1997-05-01,Algeria,CPI_Index,2.568929
1997-05-01,Algeria,CPI_Index,64.298
1997-06-01,Algeria,CPI_Index,2.378685
1997-06-01,Algeria,CPI_Index,64.4955
1997-07-01,Algeria,CPI_Index,4.865724
1997-07-01,Algeria,CPI_Index,64.2506
1997-08-01,Algeria,CPI_Index,4.019067
1997-08-01,Algeria,CPI_Index,64.5482
1997-09-01,Algeria,CPI_Index,4.174498
1997-09-01,Algeria,CPI_Index,65.1275
1997-10-01,Algeria,CPI_Index,2.98467
1997-10-01,Algeria,CPI_Index,65.0169
1997-11-01,Algeria,CPI_Index,5.001789
1997-11-01,Algeria,CPI_Index,66.6208
1997-12-01,Algeria,CPI_Index,6.046544
1997-12-01,Algeria,CPI_Index,67.9191
1998-01-01,Algeria,CPI_Index,68.39785
1998-01-01,Algeria,CPI_Index,4.950486
1998-01-01,Algeria,CPI_Index,5.324647
1998-01-01,Algeria,CPI_Index,69.5703
1998-02-01,Algeria,CPI_Index,4.255564
1998-02-01,Algeria,CPI_Index,67.8098
1998-03-01,Algeria,CPI_Index,5.393593
1998-03-01,Algeria,CPI_Index,67.9033
1998-04-01,Algeria,CPI_Index,5.698701
1998-04-01,Algeria,CPI_Index,67.9204
1998-05-01,Algeria,CPI_Index,5.508881
1998-05-01,Algeria,CPI_Index,67.8401
1998-06-01,Algeria,CPI_Index,4.577374
1998-06-01,Algeria,CPI_Index,67.4477
1998-07-01,Algeria,CPI_Index,3.289308
1998-07-01,Algeria,CPI_Index,66.364
1998-08-01,Algeria,CPI_Index,5.081474
1998-08-01,Algeria,CPI_Index,67.8282
1998-09-01,Algeria,CPI_Index,6.138421
1998-09-01,Algeria,CPI_Index,69.1253
1998-10-01,Algeria,CPI_Index,5.755888
1998-10-01,Algeria,CPI_Index,68.7592
1998-11-01,Algeria,CPI_Index,4.486587
1998-11-01,Algeria,CPI_Index,69.6098
1998-12-01,Algeria,CPI_Index,3.941454
1998-12-01,Algeria,CPI_Index,70.5961
1999-01-01,Algeria,CPI_Index,70.205875
1999-01-01,Algeria,CPI_Index,2.643394
1999-01-01,Algeria,CPI_Index,2.988632
1999-01-01,Algeria,CPI_Index,71.6495
1999-02-01,Algeria,CPI_Index,3.219594
1999-02-01,Algeria,CPI_Index,69.993
1999-03-01,Algeria,CPI_Index,3.924846
1999-03-01,Algeria,CPI_Index,70.5684
1999-04-01,Algeria,CPI_Index,2.760732
1999-04-01,Algeria,CPI_Index,69.7955
1999-05-01,Algeria,CPI_Index,3.881922
1999-05-01,Algeria,CPI_Index,70.4736
1999-06-01,Algeria,CPI_Index,3.812732
1999-06-01,Algeria,CPI_Index,70.0193
1999-07-01,Algeria,CPI_Index,3.454433
1999-07-01,Algeria,CPI_Index,68.6565
1999-08-01,Algeria,CPI_Index,2.026738
1999-08-01,Algeria,CPI_Index,69.2029
1999-09-01,Algeria,CPI_Index,1.796303
1999-09-01,Algeria,CPI_Index,70.367
1999-10-01,Algeria,CPI_Index,1.654615
1999-10-01,Algeria,CPI_Index,69.8969
1999-11-01,Algeria,CPI_Index,1.135041
1999-11-01,Algeria,CPI_Index,70.3999
1999-12-01,Algeria,CPI_Index,1.206724
1999-12-01,Algeria,CPI_Index,71.448
2000-01-01,Algeria,CPI_Index,70.444767
2000-01-01,Algeria,CPI_Index,0.340273
2000-01-01,Algeria,CPI_Index,2.236582
2000-01-01,Algeria,CPI_Index,73.252
2000-02-01,Algeria,CPI_Index,2.440101
2000-02-01,Algeria,CPI_Index,71.7009
2000-03-01,Algeria,CPI_Index,1.664484
2000-03-01,Algeria,CPI_Index,71.743
2000-04-01,Algeria,CPI_Index,0.943327
2000-04-01,Algeria,CPI_Index,70.4539
2000-05-01,Algeria,CPI_Index,-0.493234
2000-05-01,Algeria,CPI_Index,70.126
2000-06-01,Algeria,CPI_Index,-1.175247
2000-06-01,Algeria,CPI_Index,69.1964
2000-07-01,Algeria,CPI_Index,-0.623393
